,path,oldType,file,prefix,no,newType
0,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/Gtq5nfRlRx8.004.mp4,val,Gtq5nfRlRx8.004.mp4,Gtq5nfRlRx8,004,val
1,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/Gs-AdRcYSPo.003.mp4,val,Gs-AdRcYSPo.003.mp4,Gs-AdRcYSPo,003,train
2,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/itQ2wSlXqCw.004.mp4,val,itQ2wSlXqCw.004.mp4,itQ2wSlXqCw,004,train
3,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/4NzqG0XwOWg.003.mp4,val,4NzqG0XwOWg.003.mp4,4NzqG0XwOWg,003,test
4,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/Rwsss8y1bf0.005.mp4,val,Rwsss8y1bf0.005.mp4,Rwsss8y1bf0,005,train
5,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/9XqeGs2MMic.001.mp4,val,9XqeGs2MMic.001.mp4,9XqeGs2MMic,001,test
6,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/T3v3-2tvV0s.001.mp4,val,T3v3-2tvV0s.001.mp4,T3v3-2tvV0s,001,train
7,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/Y6iogSmj6FQ.004.mp4,val,Y6iogSmj6FQ.004.mp4,Y6iogSmj6FQ,004,test
8,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/LKc69Et2Jg8.001.mp4,val,LKc69Et2Jg8.001.mp4,LKc69Et2Jg8,001,test
9,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/eqXrUXW4yHY.000.mp4,val,eqXrUXW4yHY.000.mp4,eqXrUXW4yHY,000,test
10,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/LCafv-LfC3Y.002.mp4,val,LCafv-LfC3Y.002.mp4,LCafv-LfC3Y,002,test
11,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/PRplbrM70sg.000.mp4,val,PRplbrM70sg.000.mp4,PRplbrM70sg,000,train
12,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/Zdz0TqboSNI.002.mp4,val,Zdz0TqboSNI.002.mp4,Zdz0TqboSNI,002,test
13,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/X1EjfXX3NTk.002.mp4,val,X1EjfXX3NTk.002.mp4,X1EjfXX3NTk,002,train
14,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/WTzDOt2GO1M.003.mp4,val,WTzDOt2GO1M.003.mp4,WTzDOt2GO1M,003,train
15,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/o6JCQlOC3oE.004.mp4,val,o6JCQlOC3oE.004.mp4,o6JCQlOC3oE,004,val
16,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/7nJPNkWZDOY.001.mp4,val,7nJPNkWZDOY.001.mp4,7nJPNkWZDOY,001,test
17,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/Ep2F3e1xiPc.000.mp4,val,Ep2F3e1xiPc.000.mp4,Ep2F3e1xiPc,000,train
18,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/kdPRPO3wgg0.003.mp4,val,kdPRPO3wgg0.003.mp4,kdPRPO3wgg0,003,train
19,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/bcRPLKygrNk.002.mp4,val,bcRPLKygrNk.002.mp4,bcRPLKygrNk,002,test
20,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/2rV3Ibtdnvs.002.mp4,val,2rV3Ibtdnvs.002.mp4,2rV3Ibtdnvs,002,test
21,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/u_qvbRpm88k.003.mp4,val,u_qvbRpm88k.003.mp4,u_qvbRpm88k,003,test
22,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/m7zdWVDT-34.000.mp4,val,m7zdWVDT-34.000.mp4,m7zdWVDT-34,000,test
23,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/EgolOPjkkg8.002.mp4,val,EgolOPjkkg8.002.mp4,EgolOPjkkg8,002,train
24,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/MCr6FmFAhak.002.mp4,val,MCr6FmFAhak.002.mp4,MCr6FmFAhak,002,train
25,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/NVvKBE5FTMk.001.mp4,val,NVvKBE5FTMk.001.mp4,NVvKBE5FTMk,001,train
26,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/8OckVmEZ8X8.005.mp4,val,8OckVmEZ8X8.005.mp4,8OckVmEZ8X8,005,train
27,/rds/user/mwh38/hpc-work/personality-machine/firstimpressions/val/p7-JUvStF4w.001.mp4,val,p7-JUvStF4w.001.mp4,p7-JUvStF4w,001,train
